Tasks: 615 total,   1 running, 614 sleeping,   0 stopped,   0 zombie
  Mem:      5.6G total,      5.3G used,      325M free,      4.1M buffers
 Swap:      2.7G total,      2.1G used,      581M free,      1.7G cached
800%cpu 230%user  11%nice 219%sys 315%idle   0%iow  19%irq   7%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
29964 root          0 -20    0    0    0 I  0.0   0.0   0:00.32 [kworker/2:2H]
29963 root          0 -20    0    0    0 I  0.0   0.0   0:00.42 [kworker/1:2H]
29956 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/5:1H]
29797 root         20   0    0    0    0 I  0.0   0.0   0:00.45 [kworker/1:1]
29548 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
29537 u0_a31       20   0 5.2G  90M  72M S  0.0   1.5   0:00.36 com.huawei.android.pushagent
28112 root         20   0    0    0    0 I  0.0   0.0   0:06.44 [kworker/u16:0]
27119 root         20   0    0    0    0 I  0.0   0.0   0:00.70 [kworker/3:2]
25709 vendor_aiengine 20 0 5.6G 94M  81M S  0.0   1.6   0:01.09 com.huawei.hiai
25707 u0_a28       20   0 5.9G 103M  97M S  0.0   1.7   0:01.78 com.huawei.appmarket
25705 u0_a28       20   0 5.5G  91M  79M S  0.0   1.5   0:00.40 com.huawei.appmarket:HmsMessageService
24673 root         20   0    0    0    0 I  0.0   0.0   0:00.32 [kworker/5:1]
22861 root         20   0    0    0    0 I  0.0   0.0   0:00.13 [kworker/7:0]
22564 u0_i9010     20   0 1.6G  44M  44M S  0.0   0.7   0:00.06 com.huawei.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0
22536 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
21977 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
21963 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:2]
21841 root          0 -20    0    0    0 I  0.0   0.0   0:00.16 [kworker/6:2H]
21765 root          0 -20    0    0    0 I  0.0   0.0   0:00.59 [kworker/3:0H]
21755 root         20   0    0    0    0 I  0.0   0.0   0:00.41 [kworker/1:0]
21752 root          0 -20    0    0    0 I  0.0   0.0   0:00.28 [kworker/4:2H]
21733 root          0 -20    0    0    0 I  0.0   0.0   0:01.44 [kworker/1:1H]
19889 root         20   0    0    0    0 I  0.0   0.0   0:00.95 [kworker/4:1]
19600 root         20   0    0    0    0 I  0.0   0.0   0:00.33 [kworker/6:1]
10578 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
10549 system       20   0 5.3G 109M  96M S  0.0   1.8   0:00.45 com.android.settings
10543 system       20   0 5.8G  72M  61M S  0.0   1.2   0:00.31 com.huawei.lbs
10504 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
10403 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 9876 root          0 -20    0    0    0 I  0.0   0.0   0:33.62 [kworker/u17:3]
 9491 shell        20   0 5.2G  63M  52M S  0.0   1.0   0:00.14 com.android.shell
 9488 u0_a10       20   0 5.2G  63M  52M S  0.0   1.0   0:00.10 com.android.mtp
 9484 u0_a14       20   0 5.2G  65M  54M S  0.0   1.1   0:00.12 com.android.externalstorage
 9287 root          0 -20    0    0    0 I  0.0   0.0   0:00.09 [kworker/7:2H]
 9214 root          0 -20    0    0    0 I  0.0   0.0   0:01.71 [kworker/2:1H]
 9084 root         20   0  29M 3.4M 3.2M S  0.0   0.0   0:00.29 ip6tables-restore --noflush -w -v
 9083 root         20   0  29M 3.4M 3.1M S  0.0   0.0   0:00.35 iptables-restore --noflush -w -v
 5838 u0_a11       20   0 5.5G 107M 102M S  0.0   1.8   0:01.40 com.android.documentsui
 5835 u0_a48       20   0 5.5G  86M  74M S  0.0   1.4   0:00.40 com.android.systemui:ui
 5832 system       20   0 5.5G 110M  98M S  0.0   1.8   0:00.42 android:ui
 4900 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 1569 u0_a85       20   0 5.2G  63M  52M S  0.0   1.0   0:00.14 com.huawei.securitymgr
 1558 u0_a66       20   0 5.3G  75M  66M S  0.0   1.2   0:00.63 com.huawei.hwid.container3
30084 u0_a71       20   0 5.8G  73M  65M S  0.0   1.2   0:01.31 com.huawei.filemanager.core
30083 u0_a71       20   0 6.8G 114M 114M S  0.0   1.9   0:06.98 com.huawei.filemanager
27812 root         20   0    0    0    0 I  0.0   0.0   0:21.52 [kworker/u16:7]
23217 root          0 -20    0    0    0 I  0.0   0.0   0:14.25 [kworker/0:2H]
 6693 u0_a5        20   0 5.5G  60M  60M S  0.0   1.0   0:02.21 android.process.acore
 6692 u0_a117      20   0 5.5G  72M  71M S  0.0   1.2   0:02.55 com.hihonor.contacts
31342 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
30406 u0_a12       20   0 5.2G  52M  41M S  0.0   0.8   0:00.17 android.ext.services
30357 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
26394 u0_a90       20   0 5.2G  62M  50M S  0.0   1.0   0:00.50 com.huawei.android.thememanager
21770 system       20   0 5.5G 107M  95M S  0.0   1.8   0:01.59 com.huawei.hwdockbar
21769 system       20   0 5.3G  59M  48M S  0.0   1.0   0:01.05 com.huawei.searchservice:searchengine
16907 u0_a60       20   0 5.5G  63M  53M S  0.0   1.0   0:02.81 com.huawei.hitouch
 1550 vendor_cloudservice 20 0 5.5G 50M 39M S 0.0 0.8   0:00.81 com.huawei.hidisk
 1547 root         20   0    0    0    0 I  0.0   0.0   0:49.58 [kworker/u16:6]
20046 root         20   0    0    0    0 I  0.0   0.0   1:22.73 [kworker/u16:5]
27229 system       20   0  49M 3.2M 3.0M S  0.0   0.0   0:39.76 bms_behavior
27228 system       20   0  30M 2.9M 2.8M S  0.0   0.0   0:00.04 bms_auth
27227 root         20   0  53M 3.1M 3.0M S  0.0   0.0   1:38.92 chargelogcat-c ogcat --xlog 2 -x chargelogcat-c
27226 system       20   0  29M 2.8M 2.8M S  0.0   0.0   0:00.03 bms_soc
27225 system       20   0  28M 2.7M 2.7M S  0.0   0.0   0:00.02 usb_port
16518 bluetooth    20   0  50M 3.0M 3.0M S  0.0   0.0   0:00.07 android.hardware.bluetooth@1.1-service
16323 system       20   0 5.4G  46M  38M S  0.0   0.7   0:03.62 com.huawei.profile
16321 system       20   0 5.4G  50M  41M S  0.0   0.8   0:05.14 com.huawei.recsys
15619 bluetooth    20   0 5.7G  49M  39M S  0.0   0.8   0:07.52 com.android.bluetooth
12340 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 8251 root         20   0 1.7G 2.5M 2.4M S  0.0   0.0   0:00.00 usap32
 8249 root         20   0 1.7G 2.5M 2.4M S  0.0   0.0   0:00.00 usap32
 8237 root         20   0 1.7G 2.5M 2.4M S  0.0   0.0   0:00.00 usap32
 7456 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 6520 system       20   0 5.4G  60M  44M S  0.0   1.0   0:11.19 com.hihonor.android.pushagent.HiPushService
 5749 vendor_aiengine 20 0 5.7G 53M  41M S  0.0   0.9   0:30.76 com.huawei.hiai.engineservice
 5007 u0_a84       20   0 5.4G  48M  41M S  0.0   0.8   0:17.13 com.huawei.securitypluginbase:service
 4274 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [frame_sched]
 4237 root         20   0 1.7G 2.5M 2.4M S  0.0   0.0   0:00.00 usap32
 4236 u0_a87       20   0 1.5G  45M  45M S  0.0   0.7   0:00.17 com.iflytek.speechsuite
 4177 vendor_aiengine 20 0 5.5G 50M  42M S  0.0   0.8   0:04.33 com.huawei.hiaction
 4017 shell        20   0  81M 2.2M 2.2M S  0.0   0.0   0:00.00 hdbd --root_seclabel=u:r:su:s0
 4016 shell        20   0 112M 3.3M 3.1M S  0.0   0.0   0:20.94 adbd --root_seclabel=u:r:su:s0
 3998 root         RT   0    0    0    0 S  0.0   0.0   0:45.59 [sugov:7]
 3997 root         RT   0    0    0    0 S  0.0   0.0   1:52.07 [sugov:4]
 3652 u0_a10       20   0 5.7G  74M  58M S  0.0   1.2   0:42.58 android.process.media
 3332 system       20   0 5.5G  65M  52M S  0.0   1.1   0:25.75 com.huawei.hiview
 3044 system       20   0 5.4G  68M  54M S  0.0   1.1   0:06.45 com.huawei.android.pushagent.PushService
 2930 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 2533 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 2463 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 2292 u0_a66       20   0 5.6G  59M  50M S  0.0   1.0   0:07.50 com.huawei.hwid.persistent
 2214 wifi         20   0 2.0G 4.1M 3.7M S  0.0   0.0   0:07.91 wpa_supplicant_hisi -d -puse_p2p_group_interface=1 -m/data/vendor/wifi/wpa/p2p_supplicant.conf -O/data/vendor/wifi/wpa/sockets -g@android:wpa_wlan0
 2088 system       20   0 6.3G  66M  59M S  0.0   1.1   2:54.37 com.hihonor.systemmanager:service
 2058 u0_a74       20   0 6.3G 122M 107M S  0.0   2.0   2:50.20 com.hihonor.android.launcher
 2019 system       20   0 6.0G  58M  50M S  0.0   1.0   2:47.61 com.huawei.iaware
 2017 system       20   0 5.4G  49M  40M S  0.0   0.8   0:01.11 com.huawei.securityserver
 1925 webview_zygote 20 0 1.7G  10M  10M S  0.0   0.1   0:00.13 webview_zygote
 1900 system       20   0 6.2G  52M  41M S  0.0   0.8   1:58.02 com.huawei.systemserver
 1888 system       20   0 5.7G  51M  42M S  0.0   0.8   0:02.82 com.huawei.nearby
 1875 system       20   0 6.0G  61M  49M S  0.0   1.0   0:38.69 com.huawei.HwOPServer
 1815 u0_a56       20   0 1.7G  47M  47M S  0.0   0.8   0:19.49 com.baidu.input_hihonor
 1805 u0_a66       20   0 6.7G  84M  67M S  0.0   1.4   0:40.03 com.huawei.hwid.core
 1798 u0_a48       20   0 6.8G 158M 127M S  0.0   2.7   1:13.61 com.android.systemui
 1706 system       20   0  49M 2.7M 2.7M S  0.0   0.0   0:00.15 android.hardware.usb@1.0-service
 1665 wifi         20   0  32M 4.0M 3.8M S  0.0   0.0   0:09.18 wificond
 1513 gps           0 -20 244M 1.9M 1.9M S  0.0   0.0   0:00.91 hignss_1105 -normal
 1512 system       20   0  99M 2.7M 2.7M S  0.0   0.0   0:00.51 oam_hisi
 1511 system       20   0  28M 1.7M 1.7M S  0.0   0.0   0:00.00 octty
 1441 root         -2   0    0    0    0 S  0.0   0.0   0:04.54 [psimon]
 1076 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 1065 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 1019 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wifi_exception_]
 1018 root         RT   0    0    0    0 S  0.0   0.0   5:34.08 [hisi_rxdata]
 1017 root         -2   0    0    0    0 S  0.0   0.0   9:43.22 [hisi_hcc]
  924 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ps_tx_queue]
  923 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wkup_dev_workqu]
  922 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wlan_pm_wq]
  921 root         -2   0    0    0    0 S  0.0   0.0   0:17.91 [hisi_frw/0]
  920 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [g_oal_workqueue]
  919 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sdio_test]
  914 root          0 -20    0    0    0 S  0.0   0.0   0:04.54 [wlan_bus_rx/pci]
  913 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [pci_rx_normal_t]
  901 wifi         20   0  73M 3.2M 3.2M S  0.0   0.0   0:08.88 vendor.huawei.hardware.wifi@1.2-service
  893 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hisi_conn_rdr_w]
  892 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [plat_exception_]
  819 system       20   0 159M 3.1M 3.1M S  0.0   0.0   0:00.06 fusion_daemon
  816 root         20   0  50M 3.1M 3.1M S  0.0   0.0   0:00.00 hinetmanager
  812 tombstoned   20   0  27M 1.6M 1.6M S  0.0   0.0   0:00.01 tombstoned
  811 root         20   0 2.5G 8.3M 7.0M S  0.0   0.1   2:04.71 hiview
  807 system       20   0 2.0G 4.1M 4.1M S  0.0   0.0   0:00.03 gatekeeperd /data/misc/gatekeeper
  804 root         20   0  69M 3.8M 3.8M S  0.0   0.0   0:00.01 distributedfiledaemon
  803 system       20   0 234M 3.4M 3.4M S  0.0   0.0   0:00.34 hiaiserver
  802 root         20   0  29M 3.3M 2.9M S  0.0   0.0   0:00.29 unrmd
  799 system       20   0  86M 3.4M 3.3M S  0.0   0.0   4:42.49 vendor.huawei.hardware.sensors@1.2-service
  798 root         20   0 140M 2.5M 2.5M S  0.0   0.0   0:00.13 rild
  797 root         20   0  26M 1.5M 1.3M S  0.0   0.0   1:02.92 hwpged
  794 media        20   0 1.3G 2.8M 2.8M S  0.0   0.0   0:00.69 CameraDaemon denver KRJ
  793 system        0 -20  72M 3.7M 3.6M S  0.0   0.0   0:03.99 thermal-daemon
  792 root         30  10  86M 5.0M 4.2M S  0.0   0.0   0:08.73 storaged
  791 statsd       20   0 121M 4.0M 3.9M S  0.0   0.0   0:14.06 statsd
  789 media        20   0 2.1G 4.3M 4.0M S  0.0   0.0   0:01.23 media.metrics diametrics
  788 mediaex      20   0 2.3G 8.5M 7.2M S  0.0   0.1   0:05.39 media.extractor aextractor
  787 media        20   0  13M 1.0M 1.0M S  0.0   0.0   0:00.04 mediadrmserver
  786 keystore     20   0 2.0G 5.1M 5.1M S  0.0   0.0   0:08.11 keystore /data/misc/keystore
  785 root         20   0 2.1G 4.4M 4.4M S  0.0   0.0   0:01.69 installd
  784 incidentd    20   0  67M 3.9M 3.9M S  0.0   0.0   0:00.02 incidentd
  782 system       20   0  51M 4.2M 4.2M S  0.0   0.0   0:00.00 iGraphicsservice
  781 system       -3   0 2.0G 3.8M 3.8M S  0.0   0.0   0:00.03 hwrme
  780 root         20   0 2.4G 5.1M 5.1M S  0.0   0.0   0:07.35 dubaid
  779 drm          20   0  16M 1.0M 1.0M S  0.0   0.0   0:00.16 drmserver
  778 graphics     20   0 2.2G 5.9M 5.9M S  0.0   0.1   0:33.47 displayengineserver
  777 cameraserver 20   0  45M 3.7M 3.7M S  0.0   0.0   0:00.53 cameraserver
  775 system       20   0 2.1G 5.0M 4.8M S  0.0   0.0   3:37.12 AGPService
  773 system       20   0  50M 2.8M 2.8M S  0.0   0.0   0:00.01 vendor.huawei.hardware.fm@1.0-service
  772 system       20   0  59M 3.0M 3.0M S  0.0   0.0   0:00.19 vendor.huawei.hardware.biometrics.hwfacerecognize@1.1-service
  770 root         20   0 2.1G 4.1M 4.1M S  0.0   0.0   0:00.07 emcomd
  767 root         20   0    0    0    0 S  0.0   0.0   0:00.03 [file-storage]
  764 system       20   0  52M 4.0M 4.0M S  0.0   0.0   0:00.01 hivrarserver
  733 system       20   0  84M 2.4M 2.4M S  0.0   0.0   0:00.20 hisecd
  732 system       20   0 138M 3.0M 3.0M S  0.0   0.0   0:00.61 bsoh
  722 root         RT   0 194M 4.5M 3.9M S  0.0   0.0  13:35.48 aptouch_daemon
  668 system       20   0  16M 1.1M 424K S  0.0   0.0   1:19.00 powerlogd
  666 lmkd         20   0  34M 2.8M 2.8M S  0.0   0.0   0:07.60 lmkd
  665 gpu_service  20   0 2.0G 4.4M 4.4M S  0.0   0.0   0:00.03 gpuservice
  664 system       20   0 102M 3.9M 3.9M S  0.0   0.0   0:07.40 displayservice
  662 nobody       20   0  30M 3.3M 3.3M S  0.0   0.0   0:10.08 ashmemd
  661 system       20   0  35M 2.9M 2.9M S  0.0   0.0   0:00.02 vendor.huawei.hardware.tp@1.0-service
  660 system       20   0  51M 3.7M 3.5M S  0.0   0.0   0:05.95 vendor.huawei.hardware.power@1.0-service
  657 system       20   0 731M 3.3M 3.3M S  0.0   0.0   0:21.48 vendor.huawei.hardware.perfgenius@2.0-service
  655 system       20   0  85M 2.9M 2.9M S  0.0   0.0   0:00.01 vendor.huawei.hardware.motion@1.0-service
  654 system       20   0  31M 3.0M 3.0M S  0.0   0.0   0:10.16 vendor.huawei.hardware.light@2.0-service
  653 system       20   0 118M 3.2M 3.1M S  0.0   0.0   0:18.99 vendor.huawei.hardware.iawareperf@1.0-service
  652 system       20   0  33M 3.3M 3.0M S  0.0   0.0   0:00.09 vendor.huawei.hardware.hwvibrator@1.1-service
  651 system       20   0  79M 2.0M 2.0M S  0.0   0.0   0:00.26 vendor.huawei.hardware.hwsecurity-service
  650 root         20   0  50M 2.7M 2.7M S  0.0   0.0   0:00.00 vendor.huawei.hardware.hwhiview@1.1-service
  649 system       20   0  47M 3.2M 3.2M S  0.0   0.0   0:00.24 vendor.huawei.hardware.hwfactoryinterface@1.1-service
  648 system       20   0  49M 3.0M 3.0M S  0.0   0.0   0:00.01 vendor.huawei.hardware.hwdisplay@1.1-service
  646 system       20   0  71M 3.8M 3.8M S  0.0   0.0   0:00.02 vendor.huawei.hardware.hivrar@2.1-service
  645 system       20   0  31M 3.1M 3.1M S  0.0   0.0   0:27.87 vendor.huawei.hardware.graphics.mediacomm@2.1-service
  644 system       20   0  72M 2.9M 2.9M S  0.0   0.0   0:00.07 vendor.huawei.hardware.gnss@2.0-service
  642 system       20   0  31M 2.9M 2.9M S  0.0   0.0   0:00.03 vendor.huawei.hardware.graphics.hwcinterface@1.1-service
  641 system       20   0  31M 2.8M 2.8M S  0.0   0.0   0:00.00 android.hardware.thermal@2.0-service-hisi
  640 secure_element 20 0  31M 2.7M 2.7M S  0.0   0.0   0:00.01 android.hardware.secure_element@1.0-service
  639 system       20   0  30M 2.9M 2.9M S  0.0   0.0   0:00.03 android.hardware.power.stats@1.0-service.mock
  635 system       20   0 398M  15M  15M S  0.0   0.2   0:00.14 android.hardware.neuralnetworks@1.2-service-armnn
  634 system       20   0  31M 3.3M 3.1M S  0.0   0.0   0:44.92 android.hardware.memtrack@1.0-service
  633 system       20   0  31M 3.2M 3.0M S  0.0   0.0   0:23.08 android.hardware.health@2.0-service
  631 system        0 -20 2.0G 5.4M 5.2M S  0.0   0.0   0:12.92 android.hardware.graphics.allocator@2.0-service
  630 system       20   0  32M 2.9M 2.9M S  0.0   0.0   0:00.01 android.hardware.gatekeeper@1.0-service
  629 system       20   0  84M 2.8M 2.8M S  0.0   0.0   0:00.02 android.hardware.configstore@1.1-service
  628 media        20   0  13M 668K 668K S  0.0   0.0   0:00.02 android.hardware.cas@1.1-service
  627 system       20   0 103M 3.0M 2.9M S  0.0   0.0   0:00.62 activity_recognition_service
  626 root         20   0  30M 3.2M 3.0M S  0.0   0.0   0:07.99 healthd
  625 system       20   0  69M 4.0M 3.8M S  0.0   0.0   0:34.95 android.system.suspend@1.0-service
  624 system       20   0  32M 4.0M 3.8M S  0.0   0.0   0:00.29 android.hidl.allocator@1.0-service
  621 root         20   0 1.7G  15M  15M S  0.0   0.2   0:01.13 zygote
  620 root         20   0 5.2G  66M  55M S  0.0   1.1   0:03.50 zygote64
  619 root         20   0 2.4G 5.5M 5.3M S  0.0   0.0   1:00.45 netd
  591 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  590 root          0 -20    0    0    0 S  0.0   0.0   0:00.00 [loop9]
  589 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  588 root          0 -20    0    0    0 S  0.0   0.0   0:01.05 [loop8]
  587 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  586 root          0 -20    0    0    0 S  0.0   0.0   0:00.02 [loop7]
  585 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  584 root          0 -20    0    0    0 S  0.0   0.0   0:00.23 [loop6]
  583 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  582 root          0 -20    0    0    0 S  0.0   0.0   0:00.03 [loop5]
  581 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  580 root          0 -20    0    0    0 S  0.0   0.0   0:00.07 [loop4]
  579 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  578 root          0 -20    0    0    0 S  0.0   0.0   0:00.00 [loop3]
  573 root         20   0 2.0G 2.8M 2.8M S  0.0   0.0   0:00.04 apexd
  528 system       20   0  28M 1.6M 1.5M S  0.0   0.0   0:00.09 bms_event
  526 system       20   0  84M 2.0M 2.0M S  0.0   0.0   0:04.87 vendor.huawei.hardware.libteec@3.0-service
  525 root         20   0 100M 652K 652K S  0.0   0.0   0:00.86 teecd
  524 system       20   0 2.1G 4.0M 4.0M S  0.0   0.0   0:00.34 tee_auth_daemon
  523 system       20   0 2.0G 2.2M 2.2M S  0.0   0.0   0:36.39 android.hardware.keymaster@3.0-service
  522 system       20   0  30M 1.7M 1.7M S  0.0   0.0   0:00.00 android.hardware.atrace@1.0-service
  518 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  517 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/loop2-8]
